n,hash,digest_bits,field_extension,queries,blowup,grinding,fri_folding,fri_remainder_degree,run_index,native_time_s,prover_time_s,verify_time_ms,proof_size_bytes,conjectured_security_bits,binding_term,threads
65536,blake3_256,256,none,32,16,16,8,31,3,5.522320,60.951959,2.2011,109459,127,hash,1
65536,blake3_256,256,none,32,16,16,8,31,4,5.522320,62.140507,1.8268,109459,127,hash,1
65536,blake3_256,256,none,32,16,16,8,31,5,5.522320,61.056559,2.3474,109459,127,hash,1
65536,blake3_256,256,none,32,16,16,8,31,6,5.522320,62.246851,2.6909,109459,127,hash,1
65536,blake3_256,256,none,32,16,16,8,31,7,5.522320,61.543927,1.7174,109459,127,hash,1
65536,blake3_256,256,quadratic,32,8,16,8,31,1,5.634315,39.831133,3.2180,124817,111,fri,1
65536,blake3_256,256,quadratic,32,8,16,8,31,2,5.634315,35.582018,2.8340,124817,111,fri,1
65536,blake3_256,256,quadratic,32,8,16,8,31,3,5.634315,39.436644,3.2116,124817,111,fri,1
65536,blake3_256,256,quadratic,32,8,16,8,31,4,5.634315,39.414817,4.4573,124817,111,fri,1
65536,blake3_256,256,quadratic,32,8,16,8,31,5,5.634315,39.149294,4.1537,124817,111,fri,1
65536,blake3_256,256,quadratic,32,8,16,8,31,6,5.634315,39.119851,2.7379,124817,111,fri,1
65536,blake3_256,256,quadratic,32,8,16,8,31,7,5.634315,39.109215,4.2644,124817,111,fri,1
65536,blake3_256,256,none,32,8,16,8,31,1,5.484978,4.804569,2.0858,99087,111,fri,16
65536,blake3_256,256,none,32,8,16,8,31,2,5.484978,4.802163,1.5093,101936,111,fri,16
65536,blake3_256,256,none,32,8,16,8,31,3,5.484978,4.813027,2.1262,101936,111,fri,16
65536,blake3_256,256,none,32,8,16,8,31,4,5.484978,4.746589,1.5416,101936,111,fri,16
65536,blake3_256,256,none,32,8,16,8,31,5,5.484978,5.005803,2.1071,102580,111,fri,16
65536,blake3_256,256,none,32,8,16,8,31,6,5.484978,5.029007,1.6246,102164,111,fri,16
65536,blake3_256,256,none,32,8,16,8,31,7,5.484978,5.027273,1.5333,101364,111,fri,16
1024,blake3_256,256,none,32,8,16,8,31,1,0.069301,0.280789,0.6097,55867,111,fri,1
1024,blake3_256,256,none,32,8,16,8,31,2,0.069301,0.273068,0.5945,55867,111,fri,1
1024,blake3_256,256,none,32,8,16,8,31,3,0.069301,0.277604,0.6859,55867,111,fri,1
1024,blake3_256,256,none,32,8,16,8,31,4,0.069301,0.286628,0.6391,55867,111,fri,1
1024,blake3_256,256,none,32,8,16,8,31,5,0.069301,0.266754,0.6017,55867,111,fri,1
1024,blake3_256,256,none,32,8,16,8,31,6,0.069301,0.284187,0.6448,55867,111,fri,1
1024,blake3_256,256,none,32,8,16,8,31,7,0.069301,0.266195,0.6009,55867,111,fri,1
4096,blake3_256,256,none,32,8,16,8,31,1,0.289505,1.420927,1.3027,70464,111,fri,1
4096,blake3_256,256,none,32,8,16,8,31,2,0.289505,2.268735,1.7248,70464,111,fri,1
4096,blake3_256,256,none,32,8,16,8,31,3,0.289505,2.210259,1.6704,70464,111,fri,1
4096,blake3_256,256,none,32,8,16,8,31,4,0.289505,2.026631,1.3052,70464,111,fri,1
4096,blake3_256,256,none,32,8,16,8,31,5,0.289505,1.922376,1.3021,70464,111,fri,1
4096,blake3_256,256,none,32,8,16,8,31,6,0.289505,1.920432,1.3168,70464,111,fri,1
4096,blake3_256,256,none,32,8,16,8,31,7,0.289505,1.771606,1.2548,70464,111,fri,1
16384,blake3_256,256,none,32,8,16,8,31,1,1.100171,7.764822,1.6461,85540,111,fri,1
16384,blake3_256,256,none,32,8,16,8,31,2,1.100171,7.815924,1.4667,85540,111,fri,1
