sweep,workload,n,commit_hash,lambda_bits,num_queries,blowup_factor,grinding_factor,field_extension,fri_folding_factor,threads,machine,run_index,t_native_ms,t_prove_ms,t_verify_ms,proof_bytes,security_bits
S5,rescue_chain,65536,blake3_256,256,32,8,0,none,8,1,laptop_ryzen7_7840u_32gb,6,5505.146700,33423.958000,1.774600,101267,95
S5,rescue_chain,65536,blake3_256,256,32,8,0,none,8,1,laptop_ryzen7_7840u_32gb,7,5505.146700,33565.364800,2.200500,101267,95
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,1,5471.043700,33666.966200,1.728300,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,2,5471.043700,33620.572100,1.758200,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,3,5471.043700,33395.422700,2.272500,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,4,5471.043700,33514.593900,1.833000,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,5,5471.043700,33398.072400,1.752700,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,6,5471.043700,36502.535500,1.783900,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,8,none,8,1,laptop_ryzen7_7840u_32gb,7,5471.043700,33798.003400,1.728800,102485,103
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5502.322200,33836.960500,1.763700,101713,111
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5502.322200,33914.363800,1.690700,101713,111
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5502.322200,33391.304700,2.395900,101713,111
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5502.322200,34548.474500,1.662000,101713,111
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5502.322200,33198.960500,1.650500,101713,111
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5502.322200,33265.030100,1.832500,101713,111
S5,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5502.322200,33148.007300,2.228000,101713,111
S5,rescue_chain,65536,blake3_256,256,32,8,24,none,8,1,laptop_ryzen7_7840u_32gb,1,5275.741800,33311.666600,1.642600,102354,119
S5,rescue_chain,65536,blake3_256,256,32,8,24,none,8,1,laptop_ryzen7_7840u_32gb,2,5275.741800,33400.118300,2.248800,102354,119
S5,rescue_chain,65536,blake3_256,256,32,8,24,none,8,1,laptop_ryzen7_7840u_32gb,3,5275.741800,34323.423100,2.217600,102354,119
S5,rescue_chain,65536,blake3_256,256,32,8,24,none,8,1,laptop_ryzen7_7840u_32gb,4,5275.741800,33456.684400,1.611900,102354,119
S5,rescue_chain,65536,blake3_256,256,32,8,24,none,8,1,laptop_ryzen7_7840u_32gb,5,5275.741800,33654.395000,2.110100,102354,119
S5,rescue_chain,65536,blake3_256,256,32,8,24,none,8,1,laptop_ryzen7_7840u_32gb,6,5275.741800,33499.787100,2.304700,102354,119
S5,rescue_chain,65536,blake3_256,256,32,8,24,none,8,1,laptop_ryzen7_7840u_32gb,7,5275.741800,33344.678700,2.183800,102354,119
S5,rescue_chain,65536,blake3_256,256,32,8,32,none,8,1,laptop_ryzen7_7840u_32gb,1,5266.088500,193730.968700,1.773800,102836,127
S5,rescue_chain,65536,blake3_256,256,32,8,32,none,8,1,laptop_ryzen7_7840u_32gb,2,5266.088500,167609.422200,1.042500,102836,127
S5,rescue_chain,65536,blake3_256,256,32,8,32,none,8,1,laptop_ryzen7_7840u_32gb,3,5266.088500,193456.649900,1.705100,102836,127
S5,rescue_chain,65536,blake3_256,256,32,8,32,none,8,1,laptop_ryzen7_7840u_32gb,4,5266.088500,194411.120300,1.783400,102836,127
S5,rescue_chain,65536,blake3_256,256,32,8,32,none,8,1,laptop_ryzen7_7840u_32gb,5,5266.088500,193723.366900,2.288100,102836,127
S5,rescue_chain,65536,blake3_256,256,32,8,32,none,8,1,laptop_ryzen7_7840u_32gb,6,5266.088500,193605.208200,2.124400,102836,127
S5,rescue_chain,65536,blake3_256,256,32,8,32,none,8,1,laptop_ryzen7_7840u_32gb,7,5266.088500,194054.897200,2.302400,102836,127
S6,rescue_chain,65536,blake3_256,256,32,4,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5259.565700,20025.171400,1.680100,93486,63
S6,rescue_chain,65536,blake3_256,256,32,4,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5259.565700,19896.952500,1.596600,93486,63
S6,rescue_chain,65536,blake3_256,256,32,4,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5259.565700,20555.945600,2.153900,93486,63
S6,rescue_chain,65536,blake3_256,256,32,4,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5259.565700,19878.167400,2.111100,93486,63
S6,rescue_chain,65536,blake3_256,256,32,4,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5259.565700,21351.808000,2.403900,93486,63
S6,rescue_chain,65536,blake3_256,256,32,4,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5259.565700,22404.880300,2.686600,93486,63
S6,rescue_chain,65536,blake3_256,256,32,4,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5259.565700,21994.860800,2.496100,93486,63
S6,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5685.321100,33786.061300,1.784800,101713,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5685.321100,34095.983800,2.264900,101713,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5685.321100,33892.888300,1.932500,101713,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5685.321100,33817.969100,1.654400,101713,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5685.321100,36113.571900,1.918300,101713,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5685.321100,33858.875000,2.137300,101713,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5685.321100,33712.723200,1.674500,101713,111
S6,rescue_chain,65536,blake3_256,256,32,16,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5522.319900,62453.291300,2.452600,109459,127
S6,rescue_chain,65536,blake3_256,256,32,16,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5522.319900,61618.601900,1.181400,109459,127
S6,rescue_chain,65536,blake3_256,256,32,16,16,none,8,1,laptop_ryzen7_7840u_32gb,3,5522.319900,60951.958800,2.201100,109459,127
S6,rescue_chain,65536,blake3_256,256,32,16,16,none,8,1,laptop_ryzen7_7840u_32gb,4,5522.319900,62140.506600,1.826800,109459,127
S6,rescue_chain,65536,blake3_256,256,32,16,16,none,8,1,laptop_ryzen7_7840u_32gb,5,5522.319900,61056.559400,2.347400,109459,127
S6,rescue_chain,65536,blake3_256,256,32,16,16,none,8,1,laptop_ryzen7_7840u_32gb,6,5522.319900,62246.851200,2.690900,109459,127
S6,rescue_chain,65536,blake3_256,256,32,16,16,none,8,1,laptop_ryzen7_7840u_32gb,7,5522.319900,61543.926800,1.717400,109459,127
S6,rescue_chain,65536,blake3_256,256,32,8,16,quad,8,1,laptop_ryzen7_7840u_32gb,1,5634.314600,39831.133000,3.218000,124817,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,quad,8,1,laptop_ryzen7_7840u_32gb,2,5634.314600,35582.018200,2.834000,124817,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,quad,8,1,laptop_ryzen7_7840u_32gb,3,5634.314600,39436.643900,3.211600,124817,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,quad,8,1,laptop_ryzen7_7840u_32gb,4,5634.314600,39414.816800,4.457300,124817,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,quad,8,1,laptop_ryzen7_7840u_32gb,5,5634.314600,39149.294300,4.153700,124817,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,quad,8,1,laptop_ryzen7_7840u_32gb,6,5634.314600,39119.850500,2.737900,124817,111
S6,rescue_chain,65536,blake3_256,256,32,8,16,quad,8,1,laptop_ryzen7_7840u_32gb,7,5634.314600,39109.214700,4.264400,124817,111
MT,rescue_chain,65536,blake3_256,256,32,8,16,none,8,16,laptop_ryzen7_7840u_32gb,1,5484.978300,4804.569100,2.085800,99087,111
MT,rescue_chain,65536,blake3_256,256,32,8,16,none,8,16,laptop_ryzen7_7840u_32gb,2,5484.978300,4802.163200,1.509300,101936,111
MT,rescue_chain,65536,blake3_256,256,32,8,16,none,8,16,laptop_ryzen7_7840u_32gb,3,5484.978300,4813.027000,2.126200,101936,111
MT,rescue_chain,65536,blake3_256,256,32,8,16,none,8,16,laptop_ryzen7_7840u_32gb,4,5484.978300,4746.589300,1.541600,101936,111
MT,rescue_chain,65536,blake3_256,256,32,8,16,none,8,16,laptop_ryzen7_7840u_32gb,5,5484.978300,5005.802700,2.107100,102580,111
MT,rescue_chain,65536,blake3_256,256,32,8,16,none,8,16,laptop_ryzen7_7840u_32gb,6,5484.978300,5029.006800,1.624600,102164,111
MT,rescue_chain,65536,blake3_256,256,32,8,16,none,8,16,laptop_ryzen7_7840u_32gb,7,5484.978300,5027.273000,1.533300,101364,111
S1,rescue_chain,1024,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,69.300700,280.788800,0.609700,55867,111
S1,rescue_chain,1024,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,69.300700,273.068300,0.594500,55867,111
S1,rescue_chain,1024,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,69.300700,277.603700,0.685900,55867,111
S1,rescue_chain,1024,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,69.300700,286.628400,0.639100,55867,111
S1,rescue_chain,1024,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,69.300700,266.753800,0.601700,55867,111
S1,rescue_chain,1024,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,69.300700,284.186500,0.644800,55867,111
S1,rescue_chain,1024,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,69.300700,266.194800,0.600900,55867,111
S1,rescue_chain,4096,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,289.505100,1420.926600,1.302700,70464,111
S1,rescue_chain,4096,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,289.505100,2268.735200,1.724800,70464,111
S1,rescue_chain,4096,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,289.505100,2210.259000,1.670400,70464,111
S1,rescue_chain,4096,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,289.505100,2026.630700,1.305200,70464,111
S1,rescue_chain,4096,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,289.505100,1922.375800,1.302100,70464,111
S1,rescue_chain,4096,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,289.505100,1920.432200,1.316800,70464,111
S1,rescue_chain,4096,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,289.505100,1771.605500,1.254800,70464,111
S1,rescue_chain,16384,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,1100.171200,7764.822200,1.646100,85540,111
S1,rescue_chain,16384,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,1100.171200,7815.923900,1.466700,85540,111
S1,rescue_chain,16384,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,3,1100.171200,7739.542000,1.718300,85540,111
S1,rescue_chain,16384,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,4,1100.171200,7781.278700,1.509300,85540,111
S1,rescue_chain,16384,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,5,1100.171200,7762.765900,1.539800,85540,111
S1,rescue_chain,16384,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,6,1100.171200,7769.845000,1.465400,85540,111
S1,rescue_chain,16384,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,7,1100.171200,7773.391200,1.497600,85540,111
S1,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,1,5480.937200,34536.437700,2.348400,101713,111
S1,rescue_chain,65536,blake3_256,256,32,8,16,none,8,1,laptop_ryzen7_7840u_32gb,2,5480.937200,33583.513700,1.659800,101713,111
